Age (Ma),2.50%,5%,17%,25%,50%,75%,83%,95%,97.50%
1800,-0.29481622,0.462674807,1.46368367,1.775140789,2.469334513,3.177636023,3.506624294,4.806609667,5.640562686
1801,-0.262561062,0.475484092,1.447860002,1.755170783,2.443765825,3.144416068,3.470116786,4.761690361,5.598043814
1802,-0.210883634,0.478559874,1.433114174,1.738961505,2.415179185,3.111826405,3.43562232,4.716460515,5.550763914
1803,-0.188772508,0.483499485,1.420777484,1.722040089,2.390874424,3.080735289,3.399761976,4.667122871,5.518614017
1804,-0.14688505,0.489301599,1.40030629,1.702148148,2.36568989,3.04668266,3.362379572,4.626349487,5.471553373
1805,-0.109870428,0.494936492,1.388465826,1.68344604,2.335372541,3.015269523,3.331893016,4.57915741,5.443666525
1806,-0.084103976,0.490394422,1.368004208,1.66101834,2.306157057,2.979455898,3.296895784,4.533143433,5.396509305
1807,-0.07393218,0.486320696,1.352620327,1.639654464,2.279143187,2.946620738,3.264829292,4.498077636,5.347925463
1808,-0.048307615,0.479833504,1.33530334,1.618610325,2.249886227,2.915587271,3.232659971,4.450386268,5.310127759
1809,-0.030471042,0.475124257,1.318388856,1.599796015,2.220539452,2.881302814,3.198173447,4.406632842,5.252315015
1810,-0.024373561,0.460684875,1.30040757,1.574365144,2.190803346,2.845188655,3.16186976,4.361516115,5.198772595
1811,-0.01644995,0.455806703,1.281134497,1.551839428,2.160117844,2.813281406,3.133175554,4.321824104,5.152693078
1812,-0.001579472,0.444386299,1.261175363,1.528854686,2.130607755,2.781880602,3.1032415,4.278625936,5.090861281
1813,0.000527835,0.422610981,1.24238912,1.507597026,2.098849929,2.746560988,3.072925353,4.24244669,5.028434942
1814,0.007753395,0.411372256,1.221546802,1.482422728,2.073211444,2.71415388,3.039136188,4.192556321,4.979326463
1815,-0.006601462,0.399162118,1.194539927,1.456053298,2.038163578,2.68583097,3.006819969,4.151491206,4.940809454
1816,-0.006776141,0.383651306,1.174477764,1.433312796,2.009381162,2.653441484,2.975826016,4.097216744,4.890924503
1817,-0.006972862,0.366790456,1.147365507,1.406179095,1.979906666,2.622799266,2.942667616,4.054655403,4.837545074
1818,-0.011162642,0.348259862,1.121434325,1.375903847,1.948310473,2.59100947,2.914843826,4.011947109,4.800259175
1819,-0.028904483,0.338780956,1.096250363,1.351209556,1.918753757,2.55854235,2.883624691,3.966199847,4.752767302
1820,-0.039268983,0.319226328,1.064093734,1.321047766,1.890193812,2.527590661,2.85658572,3.923386484,4.697933441
1821,-0.04912503,0.297170471,1.035927969,1.292406755,1.8601539,2.497138853,2.824311279,3.882102471,4.655090524
1822,-0.059035343,0.274741848,1.005198782,1.260592948,1.831484805,2.467668554,2.794826738,3.835964992,4.618474592
1823,-0.061637591,0.258523831,0.973190154,1.230322874,1.800284738,2.440847847,2.765004147,3.801225247,4.567261559
1824,-0.073797834,0.235720672,0.940882615,1.197015738,1.772280911,2.41074806,2.738760755,3.760111915,4.529818221
1825,-0.080774644,0.214838312,0.909474445,1.163303451,1.742880814,2.385214861,2.706095518,3.724559498,4.49439739
1826,-0.09527455,0.2002106,0.87486406,1.129681143,1.713527096,2.356910787,2.676432949,3.689154583,4.46015369
1827,-0.101240363,0.177695563,0.846842976,1.098237373,1.681797078,2.328856796,2.646399721,3.656369987,4.409155355
1828,-0.124021282,0.162955064,0.81379908,1.065713594,1.654533458,2.303175902,2.620425071,3.616457491,4.391506572
1829,-0.135018791,0.141839049,0.782970833,1.031114761,1.624377332,2.27629569,2.591045338,3.581482337,4.363043789
1830,-0.1406019,0.124351393,0.749649928,1.000387085,1.594760561,2.247567327,2.564729718,3.554713161,4.321449816
1831,-0.156529395,0.102156159,0.718805566,0.9657741,1.565899228,2.224131875,2.533116787,3.522261069,4.315102073
1832,-0.167348032,0.080353593,0.686795519,0.933800173,1.536944638,2.197146957,2.507715037,3.493551352,4.285675567
1833,-0.184875572,0.061477697,0.657372162,0.901808784,1.505269686,2.166193441,2.476929829,3.460258229,4.272109988
1834,-0.187703072,0.045672479,0.628407259,0.870211704,1.477154394,2.141718026,2.451075944,3.433157353,4.253228177
1835,-0.210704907,0.023879808,0.596716323,0.835211243,1.447587816,2.115523234,2.420071376,3.413999567,4.243114798
1836,-0.222251624,0.000142677,0.566583735,0.804424065,1.414533152,2.085033841,2.389173097,3.386092045,4.227376774
1837,-0.240293407,-0.012079681,0.539427957,0.776512663,1.384898434,2.060486183,2.362120534,3.365693372,4.214263126
1838,-0.249365943,-0.031566237,0.510002589,0.744726264,1.354072713,2.035353009,2.333967535,3.345404089,4.194154192
1839,-0.26548571,-0.049466583,0.479975545,0.714930288,1.321824639,2.011204163,2.305050239,3.32902549,4.170106443
1840,-0.275549055,-0.06714248,0.452593385,0.686249879,1.294186257,1.985091907,2.279471819,3.304371913,4.169631991
1841,-0.286796056,-0.080261922,0.426046661,0.65625845,1.262388296,1.960552408,2.250579281,3.281834307,4.15095422
1842,-0.300172147,-0.099759319,0.40008078,0.629912117,1.2348892,1.932434177,2.223043143,3.267823692,4.139149806
1843,-0.314020627,-0.113942495,0.377252086,0.601379627,1.204013199,1.909326208,2.196559742,3.252585344,4.129969119
1844,-0.323276173,-0.129988541,0.351968227,0.574721466,1.174777168,1.882509439,2.170172725,3.246700543,4.104306553
1845,-0.333720439,-0.144707445,0.332077621,0.5500792,1.148723543,1.860675339,2.143574389,3.225057273,4.090339424
1846,-0.351496577,-0.160948725,0.309576058,0.525002664,1.118560212,1.835140363,2.120056298,3.21184139,4.082222146
